,age,sex,race,degree,wrkstat,income,happy,number
146,43,Female,White,Bachelor,Working parttime,Refused,Pretty happy,0
147,47,Male,Other,High school,Working fulltime,Refused,Pretty happy,0
148,57,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
149,30,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
150,39,Male,White,Graduate,Working fulltime,Refused,Pretty happy,0
151,37,Female,White,Junior college,Working fulltime,$25000 or more,Very happy,0
152,52,Female,Other,High school,Working parttime,Refused,Very happy,0
153,61,Female,Other,Graduate,Working parttime,$15000 - 19999,Not too happy,0
154,58,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
155,31,Male,White,Junior college,Working parttime,$5000 to 5999,Very happy,0
156,52,Female,Other,Bachelor,Working parttime,$25000 or more,Pretty happy,0
157,46,Female,White,Junior college,Keeping house,$25000 or more,Very happy,0
158,25,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
159,54,Male,Other,Lt high school,Working fulltime,$25000 or more,Very happy,0
160,33,Female,Other,High school,Working fulltime,$25000 or more,Very happy,0
161,33,Male,Other,Graduate,Working fulltime,$25000 or more,Very happy,0
162,61,Female,White,High school,Working parttime,$10000 - 14999,Not too happy,0
163,65,Female,White,No answer,Retired,Refused,Pretty happy,0
164,53,Female,White,High school,Working fulltime,Don't know,Not too happy,0
165,66,Female,Other,Lt high school,Keeping house,Don't know,Not too happy,0
166,41,Female,White,High school,Temp not working,$7000 to 7999,Not too happy,0
167,57,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
168,50,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
169,75,Male,Black,High school,Retired,Don't know,Not too happy,0
170,22,Female,Black,Lt high school,Working parttime,$20000 - 24999,Not too happy,0
171,27,Male,White,Lt high school,Working fulltime,$15000 - 19999,Pretty happy,0
172,20,Female,White,Lt high school,Working parttime,Lt $1000,Pretty happy,0
173,55,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
174,49,Female,White,High school,Temp not working,$25000 or more,Not too happy,0
175,51,Female,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
176,56,Male,White,Bachelor,Working parttime,$25000 or more,Very happy,0
177,41,Female,Other,Graduate,Keeping house,Refused,Pretty happy,0
178,67,Male,White,High school,Working parttime,$25000 or more,Pretty happy,0
179,38,Female,Black,High school,Working parttime,$10000 - 14999,Pretty happy,0
180,76,Female,Other,Graduate,Retired,$25000 or more,Not too happy,0
181,66,Male,Black,Junior college,Other,$15000 - 19999,Not too happy,0
182,84,Female,Other,Bachelor,Retired,$10000 - 14999,Pretty happy,0
183,32,Male,Black,Lt high school,Keeping house,$8000 to 9999,Not too happy,0
184,46,Male,Black,Bachelor,Working fulltime,$10000 - 14999,Pretty happy,0
185,25,Male,Other,High school,School,Don't know,Very happy,0
186,67,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
187,34,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
188,29,Female,Other,Lt high school,Keeping house,Lt $1000,Not too happy,0
189,51,Female,White,Lt high school,Keeping house,$15000 - 19999,Pretty happy,0
190,39,Female,Other,High school,"Unempl, laid off",$20000 - 24999,Pretty happy,0
191,39,Female,Other,Lt high school,Working fulltime,$15000 - 19999,Pretty happy,0
192,51,Female,White,Lt high school,Working parttime,$25000 or more,Very happy,0
193,40,Female,Other,Lt high school,Working fulltime,$25000 or more,Very happy,0
194,32,Male,White,Lt high school,Working fulltime,$20000 - 24999,Pretty happy,0
195,38,Male,White,Junior college,Working fulltime,$25000 or more,Very happy,0
196,79,Female,White,High school,Retired,$20000 - 24999,Very happy,0
197,49,Male,Other,Bachelor,Working fulltime,$25000 or more,Very happy,0
198,22,Male,White,Junior college,Working parttime,$25000 or more,Pretty happy,0
199,30,Male,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
200,47,Male,White,High school,Working fulltime,Refused,Pretty happy,0
201,55,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
202,30,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
203,29,Male,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
204,37,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
205,67,Female,White,Graduate,Working parttime,$20000 - 24999,Pretty happy,0
206,38,Female,Other,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
207,81,Female,White,High school,Keeping house,Don't know,Not too happy,0
208,35,Male,Black,Junior college,Working parttime,$20000 - 24999,Pretty happy,0
209,46,Male,White,Graduate,"Unempl, laid off",Refused,Not too happy,0
210,37,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
211,21,Male,Other,High school,School,$25000 or more,Pretty happy,0
212,43,Male,White,High school,Working parttime,Don't know,Very happy,0
213,45,Female,White,Bachelor,Keeping house,Refused,Very happy,0
214,76,Female,White,Graduate,Retired,$25000 or more,Very happy,0
215,77,Male,White,High school,Retired,$25000 or more,Pretty happy,0
216,61,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
217,45,Female,White,Lt high school,Working fulltime,$25000 or more,Pretty happy,0
218,47,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
219,41,Male,White,Bachelor,Working fulltime,Refused,Very happy,0
220,19,Female,Black,High school,School,Don't know,Pretty happy,0
221,50,Male,Other,Lt high school,Working fulltime,$25000 or more,Very happy,0
222,25,Male,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
223,45,Male,White,Graduate,Working fulltime,Refused,Very happy,0
224,21,Male,White,Junior college,Working parttime,$25000 or more,Pretty happy,0
225,48,Female,Other,High school,Working fulltime,$25000 or more,Very happy,0
226,25,Male,Other,Graduate,Working fulltime,$25000 or more,Pretty happy,0
227,31,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
228,33,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
229,72,Male,White,Bachelor,Retired,$25000 or more,Pretty happy,0
230,70,Female,White,High school,Retired,$25000 or more,Pretty happy,0
231,66,Female,White,Bachelor,Retired,Refused,Very happy,0
232,57,Female,Other,Graduate,Working fulltime,Refused,Very happy,0
233,81,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
234,23,Male,White,Bachelor,Working parttime,Refused,Pretty happy,0
235,48,Female,White,Bachelor,Working fulltime,$25000 or more,Not too happy,0
236,62,Female,White,Bachelor,Working parttime,$25000 or more,Pretty happy,0
237,43,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
238,34,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
239,36,Male,Other,High school,Working fulltime,$25000 or more,Very happy,0
240,37,Male,Other,High school,Working fulltime,$25000 or more,Pretty happy,0
241,32,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
242,53,Female,Other,Lt high school,Working fulltime,$25000 or more,Very happy,0
243,42,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
244,51,Male,Other,High school,Keeping house,$25000 or more,Very happy,0
245,44,Female,Other,Graduate,"Unempl, laid off",$25000 or more,Pretty happy,0
246,36,Female,White,High school,Keeping house,$25000 or more,Pretty happy,0
247,49,Male,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
248,49,Female,Other,High school,Working fulltime,Don't know,Very happy,0
249,35,Female,White,Bachelor,Working fulltime,Refused,Pretty happy,0
250,47,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
251,29,Male,Black,Bachelor,Working fulltime,Refused,Pretty happy,0
252,36,Male,Black,Bachelor,Working parttime,$25000 or more,Very happy,0
253,31,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
254,19,Male,Black,High school,School,Don't know,Not too happy,0
255,25,Male,Black,High school,Temp not working,Don't know,Pretty happy,0
256,30,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
257,62,Male,White,High school,Retired,$25000 or more,Very happy,0
258,35,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
259,41,Male,Other,High school,Working fulltime,Refused,Very happy,0
260,62,Female,White,Graduate,Temp not working,$25000 or more,Pretty happy,0
261,20,Male,White,High school,Working fulltime,Lt $1000,Pretty happy,0
262,42,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
263,30,Female,Black,High school,"Unempl, laid off",$1000 to 2999,Very happy,0
264,26,Female,Other,Junior college,Working parttime,$20000 - 24999,Pretty happy,0
265,58,Female,White,Junior college,Working parttime,$25000 or more,Not too happy,0
266,47,Female,White,High school,"Unempl, laid off",$25000 or more,Pretty happy,0
267,61,Female,Black,High school,Retired,$25000 or more,Very happy,0
268,44,Male,White,Lt high school,Working fulltime,$25000 or more,Pretty happy,0
269,75,Female,White,Graduate,Retired,$25000 or more,Very happy,0
270,44,Female,White,Graduate,Keeping house,$25000 or more,Very happy,0
271,36,Female,White,Bachelor,Working parttime,$25000 or more,Very happy,0
272,62,Female,White,Bachelor,Retired,$25000 or more,Pretty happy,0
273,37,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
274,69,Female,White,High school,Retired,$25000 or more,Very happy,0
275,48,Male,White,High school,Working fulltime,Don't know,Pretty happy,0
276,44,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
277,59,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
278,61,Female,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
279,31,Male,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
280,54,Female,White,Lt high school,Keeping house,$25000 or more,Very happy,0
281,49,Female,White,High school,"Unempl, laid off",$15000 - 19999,Pretty happy,0
282,47,Female,White,High school,Keeping house,Refused,Pretty happy,0
283,No answer,Female,White,High school,Working fulltime,$25000 or more,Very happy,0
284,83,Female,White,High school,Retired,Don't know,Pretty happy,0
285,38,Male,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
286,47,Male,Black,Junior college,Working fulltime,$15000 - 19999,Very happy,0
287,28,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
288,73,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
289,31,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
290,55,Male,White,Graduate,Working fulltime,Refused,Very happy,0
291,61,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
292,50,Male,White,Bachelor,Working fulltime,Refused,Very happy,0
293,67,Female,White,High school,Retired,$10000 - 14999,Very happy,0
294,41,Male,White,Lt high school,Working fulltime,$25000 or more,Very happy,0
295,22,Female,Other,High school,Working parttime,$25000 or more,Pretty happy,0
296,60,Female,White,Bachelor,"Unempl, laid off",$25000 or more,Pretty happy,0
297,36,Female,Other,Bachelor,Keeping house,$25000 or more,Very happy,0
298,39,Female,Other,Bachelor,Working fulltime,Refused,Pretty happy,0
299,40,Male,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
300,23,Female,Black,High school,Keeping house,$20000 - 24999,Pretty happy,0
301,63,Female,Black,Lt high school,Keeping house,$10000 - 14999,Not too happy,0
302,60,Male,Black,High school,Keeping house,$20000 - 24999,Pretty happy,0
303,40,Male,Black,High school,Working fulltime,$20000 - 24999,Very happy,0
304,40,Male,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
305,30,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
306,43,Female,Other,High school,Keeping house,$25000 or more,Very happy,0
307,52,Female,Other,Lt high school,Working fulltime,$20000 - 24999,Pretty happy,0
308,No answer,Male,White,Bachelor,Working fulltime,Refused,Not too happy,0
309,25,Female,Other,High school,"Unempl, laid off",$10000 - 14999,Pretty happy,0
310,No answer,Male,White,Graduate,Working fulltime,Refused,Pretty happy,0
311,58,Male,White,Bachelor,Retired,Refused,Pretty happy,0
312,60,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
313,44,Male,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
314,69,Male,White,Bachelor,Retired,$25000 or more,Pretty happy,0
315,66,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
316,43,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
317,37,Male,White,High school,Working fulltime,$20000 - 24999,Very happy,0
318,28,Male,Other,High school,Working parttime,$25000 or more,Pretty happy,0
319,69,Female,White,Bachelor,Retired,$25000 or more,Pretty happy,0
320,27,Female,Other,Lt high school,Keeping house,$3000 to 3999,Pretty happy,0
321,60,Female,White,Bachelor,Temp not working,$25000 or more,Pretty happy,0
322,62,Female,Black,Junior college,Retired,$25000 or more,Pretty happy,0
323,74,Male,Black,High school,Retired,$15000 - 19999,Not too happy,0
324,32,Female,White,High school,Keeping house,Lt $1000,Not too happy,0
325,68,Female,White,High school,Retired,$25000 or more,Pretty happy,0
326,39,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
327,21,Female,Other,High school,Working parttime,$25000 or more,Very happy,0
328,52,Female,White,Bachelor,Working fulltime,Refused,Very happy,0
329,46,Male,White,Bachelor,Working fulltime,Refused,Pretty happy,0
330,56,Male,White,High school,Retired,Refused,Pretty happy,0
331,60,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
332,22,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
333,42,Male,Other,High school,Working fulltime,$25000 or more,Very happy,0
334,35,Male,Other,High school,Working fulltime,$25000 or more,Not too happy,0
335,42,Female,Other,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
336,58,Male,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
337,32,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
338,59,Female,White,Bachelor,Retired,Refused,Very happy,0
339,20,Male,White,High school,School,$25000 or more,Pretty happy,0
340,44,Male,White,Graduate,Working fulltime,$25000 or more,Very happy,0
341,34,Female,White,High school,Working parttime,$25000 or more,Pretty happy,0
342,62,Female,White,Graduate,Working fulltime,Refused,Very happy,0
343,59,Male,White,Bachelor,Working parttime,$25000 or more,Pretty happy,0
344,51,Female,White,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
345,37,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
346,50,Male,White,Graduate,Working fulltime,Refused,Pretty happy,0
347,40,Female,White,High school,Working fulltime,$25000 or more,Not too happy,0
348,53,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
349,52,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
350,52,Female,White,High school,Working parttime,$25000 or more,Very happy,0
351,36,Female,White,Graduate,Keeping house,Refused,Very happy,0
352,46,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
353,56,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
354,64,Female,White,High school,Keeping house,$25000 or more,Very happy,0
355,62,Female,Black,Graduate,Working fulltime,$25000 or more,Pretty happy,0
356,35,Female,Other,Bachelor,Working parttime,$25000 or more,Pretty happy,0
357,60,Male,White,Junior college,Working fulltime,$25000 or more,Pretty happy,0
358,36,Female,Black,Junior college,Working fulltime,$25000 or more,Pretty happy,0
359,62,Female,White,High school,Working fulltime,Refused,Very happy,0
360,30,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
361,27,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
362,79,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
363,60,Female,White,High school,Working fulltime,$25000 or more,Pretty happy,0
364,51,Male,White,Graduate,Working fulltime,Refused,Very happy,0
365,42,Female,White,High school,Working fulltime,$25000 or more,Not too happy,0
366,59,Male,White,Lt high school,Other,$25000 or more,Pretty happy,0
367,49,Male,White,High school,"Unempl, laid off",$20000 - 24999,Pretty happy,0
368,53,Female,White,High school,Working fulltime,Don't know,Very happy,0
369,47,Male,White,High school,Working fulltime,$25000 or more,Very happy,0
370,41,Female,Other,Graduate,Working fulltime,Refused,Very happy,0
371,47,Female,White,Graduate,Keeping house,Refused,Very happy,0
372,64,Male,White,High school,Working parttime,Refused,Very happy,0
373,80,Female,Other,Graduate,Retired,$25000 or more,Pretty happy,0
374,61,Female,White,High school,Keeping house,Refused,Pretty happy,0
375,34,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
376,31,Male,Black,High school,Working fulltime,$25000 or more,Very happy,0
377,29,Female,White,Bachelor,Keeping house,$25000 or more,Not too happy,0
378,No answer,Male,White,High school,Working fulltime,Refused,Pretty happy,0
379,68,Female,Black,Graduate,Working fulltime,$25000 or more,Pretty happy,0
380,89 or older,Male,White,Graduate,Retired,$25000 or more,Pretty happy,0
381,76,Female,White,Graduate,Retired,Refused,Very happy,0
382,64,Male,White,High school,Retired,$10000 - 14999,Pretty happy,0
383,40,Female,Black,High school,Working fulltime,$25000 or more,Pretty happy,0
384,27,Female,Black,Bachelor,Working fulltime,Refused,Pretty happy,0
385,56,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
386,71,Female,Black,Bachelor,Working parttime,Refused,Pretty happy,0
387,29,Female,Black,Bachelor,Working fulltime,$25000 or more,Pretty happy,0
388,74,Female,White,Bachelor,Retired,$25000 or more,Very happy,0
389,30,Female,Black,Bachelor,Working fulltime,Refused,Pretty happy,0
390,65,Female,Black,Bachelor,Retired,$25000 or more,Very happy,0
391,41,Female,Black,High school,Working parttime,$25000 or more,Pretty happy,0
392,38,Male,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
393,49,Male,White,High school,Working fulltime,$25000 or more,Pretty happy,0
394,25,Male,White,Bachelor,School,$25000 or more,Very happy,0
395,25,Female,White,Graduate,Working fulltime,$25000 or more,Pretty happy,0
396,26,Female,Black,High school,School,$25000 or more,Not too happy,0
397,34,Female,White,Graduate,Working fulltime,$25000 or more,Very happy,0
398,34,Female,White,Bachelor,Working fulltime,$25000 or more,Very happy,0
